image_name,generated_response,expected_caption
ROCOv2_2023_train_000027.jpg,"pneumatosis intestinalis in the liver. CT scan of the abdomen showing multiple hypodense lesions (arrows) within the liver, with a central area of low attenuation and peripheral areas of high attenuation, consistent with pneumatosis intestinalis. The lesion is located in the right lobe of the liver","New CTA of abdomen showing huge variegated hematoma (yellow arrows) suggesting recent hemorrhage.CTA, CT with angiography"
ROCOv2_2023_train_000028.jpg,"pneumonia with ground glass opacities and consolidation in the right upper lobe. There is also a small area of consolidation in the left lower lobe, which was not seen on chest X-ray before the diagnosis of COVID-19 pneumonia. SARS-CoV-2 infection has been confirmed by",Chest CT scan revealed fibrosis within the irregular strip located in dorsal anasal segment of lower lobes.
ROCOv2_2023_train_000029.jpg,pneumomediastinum. Coronal CT image showing pneumomediastinum with air in the right middle ear space (arrow). The right middle ear is normal and does not show any signs of infection or inflammation.CT: computed tomography; PM: perimembran,Coronal view of the intra-nasal foreign body.
ROCOv2_2023_train_000030.jpg,"pneumocephalus. Sagittal CT image of the patient with pneumomediastinum and pneumorrhachis demonstrates a large amount of air in the right parotid space (arrow). The parotids are also distended, indicating an enlarged left parotid gland. There",Sagittal view of the calcified nasal packing.
ROCOv2_2023_train_000031.jpg,"pneumomediastinum. Axial CT image showing pneumomediastinum (arrow) with air in the subcutaneous layer of the right parotid gland and a small amount of fluid within it, consistent with pneumonitis. The right parotid is also distended",Transverse view of the calcified foreign body. Extensive sinusitis of the right and left maxillary sinuses is evident.
ROCOv2_2023_train_000032.jpg,"pneumomediastinum and subcutaneous emphysema. Chest X-ray showing pneumomediastinum (yellow arrows) with subcutaneous emphysema in the right upper lobe, left lower lobe, and both lungs. Axial view of chest x-ray demonstrating",Chest radiograph showing reticular opacities prominent in bilateral mid and lower zones.
ROCOv2_2023_train_000033.jpg,"pneumonia. Axial CT image of the chest showing bilateral ground glass opacities and consolidation in both lungs (arrows). There is also a small left pleural effusion, which was not seen on the initial chest X-ray. The patient had been treated with corticosteroids for COVID‐",CT chest showing ground-glass opacities with bilateral minimal pleural effusion.
ROCOv2_2023_train_000034.jpg,"pneumomediastinum. Chest X-ray showing pneumomediastinum (arrow) with subcutaneous emphysema in the right chest wall and neck region, suggestive of acute respiratory distress syndrome. The patient was admitted for a cough due to acute respiratory distress syndrome. There is",Follow up chest radiograph after 4 weeks showing radiological resolution.
ROCOv2_2023_train_000035.jpg,pulmonary artery angiogram showing a 90% stenosis of the right coronary artery. The left coronary artery is patent and normal in appearance. There are no signs of thrombus or calcification. No evidence of an acute coronary syndrome was present.RAO view: Left anterior oblique (LAo,Coronary angiogram illustrating spasm in the LAD.
ROCOv2_2023_train_000036.jpg,pulmonary artery angiogram showing a 90% stenosis in the proximal left anterior descending coronary artery. LAD: Left Anterior Descending Coronary Artery; LAO: Localized Open Wall. LAX: Left Main Axial Coronar. RCA: Right Cardiac Radioactive,After administration of IV nitrates and resolution of the narrowing in the LAD.
ROCOv2_2023_train_000037.jpg,"pulmonary artery angiogram showing a 90% stenosis in the right coronary artery. The left main stem is patent and there are no signs of thrombus or dissection. There was no evidence of acute myocardial infarction, but there were significant changes to the left ventricular morphology with an increased proportion of calc",Ventricular fibrillation.
ROCOv2_2023_train_000038.jpg,"pneumatosis intestinalis (arrow) in the small bowel. The arrow indicates pneumatisation of the small bowel wall, which is seen as a thin-walled structure with air fluid levels within it. This can be mistaken for an intestinal obstruction or diverticulitis. A similar finding was observed","Abdominal CT. Abdominal CT shows a mass communicated with the small intestinal lumen (white arrow), and the outer and inner margins of the mass are irregular. A lymph node involvement is observed in the adjacent mesentery (red arrow)"
ROCOv2_2023_train_000039.jpg,"pulmonary embolism. Contrast-enhanced CT scan of the chest showing a large, well circumscribed mass in the right lobe of the liver (arrow). The lesion is surrounded by an area of low attenuation and shows no evidence of necrosis or hemorrhage. This was suspected to be a pulmonary embolus","Abdominal CT. After enhancement, abdominal CT shows a small low-density lesion in the seventh segment of the liver (black arrow)"
ROCOv2_2023_train_000040.jpg,"pneumomediastinum (arrow) and subcutaneous emphysema in the left chest wall. The arrowhead indicates the tip of the needle used for the biopsy, which is located at the level of the right upper lobe. The left side of the chest was not affected by the biopsy",Chest CT. Chest CT shows an irregular contours mass in anterior mediastinum with mild heterogenetic enhancement (white arrow)
ROCOv2_2023_train_000041.jpg,"pneumomediastinum. X-ray of the chest showing pneumomediastinum (arrows). The patient was treated with a 20% lidocaine patch and a 15% lidocaine patch for 3 days, which showed no evidence of infection",Chest X-ray showing bilateral clavicular hypoplasia.
ROCOv2_2023_train_000042.jpg,"pulmonary artery (PA) and portal vein (PV). CT images of the liver, spleen, kidneys, adrenal glands, and pancreas. The red arrows indicate the areas where the CT image was obtained for this study. The blue arrow indicates the area where the CT image was obtained from a representative patient",A slide from CT abdomen that shows that the patient is very thin with large ascites and very large liver.
ROCOv2_2023_train_000043.jpg,"pneumatosis intestinalis in the colon. Axial CT image shows a large, well-defined mass (arrow) with central necrosis and peripheral calcification involving the entire colon wall. The colon is distended with air bubbles due to intussusception of the bowel loops. This finding was considered",Sigmoid colon cancer invading to the retroperitoneum at the time of initial diagnosis.
ROCOv2_2023_train_000044.jpg,"pneumatosis intestinalis. Axial CT image shows a large, lobulated mass with peripheral rim enhancement in the right lower quadrant of the abdomen (arrow). The mass is oriented to the left side and has no obvious contrast uptake or fat stranding. There are multiple small areas of calcification within",Retroperitoneal abscess adjacent to the sigmoid colon tumor.
ROCOv2_2023_train_000045.jpg,"pelvic computed tomography scan showing a large soft tissue mass in the right pubic symphysis. The mass is 10 cm x 8 mm and shows irregular margins, with internal septations (arrow). Note that the mass does not involve the left pubic symphysis or the adjacent muscles",Abnormal air accumulation in the subcutaneous space of the left thigh.
ROCOv2_2023_train_000046.jpg,"pneumatosis intestinalis in the colon. Coronal CT image of a 50-year-old male with chronic inflammatory bowel disease shows pneumatosis intestinalis (red arrow) and small bowel obstruction (blue arrow). The colon is dilated, indicating an acute colitis. Note that there are multiple",CT of the abdomen showing hepatomegaly
ROCOv2_2023_train_000047.jpg,"pneumoperitoneum. Ultrasound of the abdomen showing pneumobilia (arrows). The liver is normal in size and appearance, but there are multiple small nodules within it suggestive of abscesses or metastases. These nodules were not identified on the CT scan before surgery. There was no evidence of",Abdominal ultrasound showing hepatic parenchymal disease
ROCOv2_2023_train_000048.jpg,"pulmonic valve. TEE showing a pulmonal valve with a large vegetation (arrow) in the aortic root, which is not well visualized on the transesophageal echocardiogram.TEE: transthoracic echocardiography; LAO view: long axis view of the aortic",Carpentier type 3B: restrictive leaflet motion—systole (closure): ischaemic mitral regurgitation.
ROCOv2_2023_train_000049.jpg,"pneumatosis intestinalis. Plain X-ray of the abdomen showing air in the small bowel and colon (arrow). The colon is dilated with a thin wall, indicating an intestinal obstruction. Note also the presence of air bubbles within the colon suggesting perforation by the intestinal mass. This finding was confirmed",FB (cutlery handle) in the DII
ROCOv2_2023_train_000050.jpg,"pituitary microadenoma. MRI of the brain showing a large pituitary microadenoma with a mass effect on the right lateral ventricle and left frontal lobe, causing significant hydrocephalus (arrow).MRI: magnetic resonance imaging; FLAIR: fluid-attenuated inversion recovery. 1. P",Brain MRI Flaire image showing hyperintensities in basal ganglias
